"INDICATOR","HFAMDB_405"

"HFAMDB_405","Influenza, number of deaths, by sex"

"UNIT_TYPE","Unit"
"NUM_DTH","number of deaths"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFAMDB","European mortality database (MDB)"

"DATA_TYPE_REPRESENTATION","Data type representation"
"COUNT","Count"

"DATA_SET","Data set"
"HFAMDB","European mortality database (MDB)"

"DATA_MASK","Mask for controlling the output format of values"

"AGE_GRP_LIST","Age group"
"TOTAL","Total"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","AGE_GRP_LIST","SEX","YEAR","VALUE"
"PRT","","TOTAL","MALE","2013","10"
"PRT","","TOTAL","FEMALE","2013","15"
"ESP","","TOTAL","ALL","2013","88"
"ESP","","TOTAL","FEMALE","2013","44"
"ESP","","TOTAL","MALE","2013","44"
"SWE","","TOTAL","FEMALE","2013","84"
"SWE","","TOTAL","MALE","2013","62"
"SWE","","TOTAL","ALL","2013","146"
"KGZ","","TOTAL","ALL","2013","45"
"KGZ","","TOTAL","MALE","2013","27"
"KGZ","","TOTAL","FEMALE","2013","18"
"HRV","","TOTAL","ALL","2013","32"
"HRV","","TOTAL","MALE","2013","13"
"HRV","","TOTAL","FEMALE","2013","19"
"CZE","","TOTAL","FEMALE","2013","82"
"CZE","","TOTAL","ALL","2013","183"
"CZE","","TOTAL","MALE","2013","101"
"DEU","","TOTAL","MALE","2013","130"
"DEU","","TOTAL","ALL","2013","301"
"DEU","","TOTAL","FEMALE","2013","171"
"HUN","","TOTAL","FEMALE","2013","2"
"HUN","","TOTAL","ALL","2013","7"
"HUN","","TOTAL","MALE","2013","5"
"MDA","","TOTAL","MALE","2013","6"
"MDA","","TOTAL","ALL","2013","14"
"MDA","","TOTAL","FEMALE","2013","8"
"SRB","","TOTAL","MALE","2013","12"
"SRB","","TOTAL","FEMALE","2013","3"
"SRB","","TOTAL","ALL","2013","15"
"TUR","","TOTAL","MALE","2013","52"
"TUR","","TOTAL","FEMALE","2013","49"
"TUR","","TOTAL","ALL","2013","101"
"ALB","","TOTAL","ALL","1987","99"
"ALB","","TOTAL","ALL","1988","73"
"ALB","","TOTAL","ALL","1989","160"
"ALB","","TOTAL","ALL","1992","143"
"ALB","","TOTAL","ALL","1993","129"
"ALB","","TOTAL","ALL","1994","77"
"ALB","","TOTAL","ALL","1995","118"
"ALB","","TOTAL","ALL","1996","125"
"ALB","","TOTAL","ALL","1997","75"
"ALB","","TOTAL","ALL","1998","72"
"ALB","","TOTAL","ALL","1999","86"
"ALB","","TOTAL","ALL","2000","97"
"ALB","","TOTAL","ALL","2001","35"
"ALB","","TOTAL","ALL","2002","47"
"ALB","","TOTAL","ALL","2003","41"
"ALB","","TOTAL","ALL","2004","34"
"ALB","","TOTAL","MALE","1987","55"
"ALB","","TOTAL","MALE","1988","45"
"ALB","","TOTAL","MALE","1989","82"
"ALB","","TOTAL","MALE","1992","73"
"ALB","","TOTAL","MALE","1993","69"
"ALB","","TOTAL","MALE","1994","45"
"ALB","","TOTAL","MALE","1995","72"
"ALB","","TOTAL","MALE","1996","64"
"ALB","","TOTAL","MALE","1997","44"
"ALB","","TOTAL","MALE","1998","35"
"ALB","","TOTAL","MALE","1999","48"
"ALB","","TOTAL","MALE","2000","51"
"ALB","","TOTAL","MALE","2001","19"
"ALB","","TOTAL","MALE","2002","22"
"ALB","","TOTAL","MALE","2003","28"
"ALB","","TOTAL","MALE","2004","16"
"ALB","","TOTAL","FEMALE","1987","44"
"ALB","","TOTAL","FEMALE","1988","28"
"ALB","","TOTAL","FEMALE","1989","78"
"ALB","","TOTAL","FEMALE","1992","70"
"ALB","","TOTAL","FEMALE","1993","60"
"ALB","","TOTAL","FEMALE","1994","32"
"ALB","","TOTAL","FEMALE","1995","46"
"ALB","","TOTAL","FEMALE","1996","61"
"ALB","","TOTAL","FEMALE","1997","31"
"ALB","","TOTAL","FEMALE","1998","37"
"ALB","","TOTAL","FEMALE","1999","38"
"ALB","","TOTAL","FEMALE","2000","46"
"ALB","","TOTAL","FEMALE","2001","16"
"ALB","","TOTAL","FEMALE","2002","25"
"ALB","","TOTAL","FEMALE","2003","13"
"ALB","","TOTAL","FEMALE","2004","18"
"ARM","","TOTAL","FEMALE","1981","100"
"ARM","","TOTAL","FEMALE","1982","47"
"ARM","","TOTAL","FEMALE","1985","72"
"ARM","","TOTAL","FEMALE","1986","48"
"ARM","","TOTAL","FEMALE","1987","17"
"ARM","","TOTAL","FEMALE","1988","29"
"ARM","","TOTAL","FEMALE","1989","17"
"ARM","","TOTAL","FEMALE","1990","10"
"ARM","","TOTAL","FEMALE","1991","4"
"ARM","","TOTAL","FEMALE","1992","2"
"ARM","","TOTAL","FEMALE","1993","2"
"ARM","","TOTAL","FEMALE","1994","6"
"ARM","","TOTAL","FEMALE","1995","12"
"ARM","","TOTAL","FEMALE","1996","8"
"ARM","","TOTAL","FEMALE","1997","4"
"ARM","","TOTAL","FEMALE","1998","2"
"ARM","","TOTAL","FEMALE","1999","9"
"ARM","","TOTAL","FEMALE","2000","3"
"ARM","","TOTAL","FEMALE","2001","1"
"ARM","","TOTAL","FEMALE","2002","1"
"ARM","","TOTAL","FEMALE","2003","5"
"ARM","","TOTAL","FEMALE","2006","0"
"ARM","","TOTAL","FEMALE","2008","0"
